Feed Name,Feed ID,Feed Type,Active Status,Feed Description,Feed Scope Description,Assessment Status,Server Name,Schema Name,Table Name,Reporting Usages,Feed Source EONID,Feed Source Name,Feed Folder,Feed Arrival SLA,System EONID,Authorized Re-Distributer,Data Concept,Boundary,Authority Aligned,Entity Scope,Product Mapping,Feed Priority,Control Owner,Feed Instance,Sourcing Method,Feed Arrival ETA,Business Owner,Tech Owner,Primary IT Contact
RFM19-DS_2201_FACT_DOWNGRADE_ATES,5019,Manual,Active,"​Data is manually sourced by LFC directly from Sentry including ATE (Additional Termination Event) type information for population of Contract IDse.g. Collateral Eligible Cure or Hard ATE. This data is used in the Collateral Downgrade model.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.


","Entity: All MOEs
Product Scope:Collateral

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ate/,7PM - 9PM,63070.0,"​N/A
","​N/A
","​N/A
",,None,Derivatives - OTC,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Sundesh Lohana / Sayantan Datta
RFM20-DS_2202_FACT_ATES_IMPORT_EXPORT,5020,Manual,Active,"​Data is sourced from A2 (via service now ticket) and includes reference data used in the Credit Downgrade model including Contract ID and Type information.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.

","Entity: All MOEs
Product Scope:Credit Model

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ate/,7PM – 9 PM,63070.0,"​N/A
","​N/A
","​N/A
",,None,Derivatives - OTC,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Nyanoba Biradar / Sayantan Datta / Sundesh Lohana
RFM21-DS_2203_FACT_DOWNGRADE_COLLATERAL_IMPACT,5021,Manual,Active,"​Manual data handoff received from 5G LCR team is used to prepare the legal entity/counterparty downgrade trigger impact. This data is loaded into the Credit Downgrade model.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.


","Entity: All MOEs
Product Scope:SPV, ATE, Loss ofRehyp and IA & UK Pensions.

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ate/,7PM - 9PM,63070.0,"​N/A
","​N/A
","​N/A
",,None,Derivatives - OTC,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Sundesh Lohana / Sayantan Datta
BTB Cash,256,Feed,Active,"The purpose of this feed is to ensure that the cash in bank balances in FDW are materially correcton a daily basis and can be broken down at counterparty (bank) level.
To achieve theabove mentioned objective, FDWhave to implement the below mentioned tasks.
•Load “AS OF” cash adjustments from Libra into FDWon a daily basis
•Build logic to reinstate GL Prior balances for ION-CASH and Overdraft data
•Build CASH extract (TAPS, ION, Overdrafts, GWM and GL Delta) and populate PARTYID for records both at TAPS ACCT Level and at the GL CODE Block Level.
•Create reference data to map Entity/GL ACCT/SiteID to PARTY_ID","Feed Scope:
Entity Scope:This feed will include all Morgan Stanley entities
Product Scope:The following deals should be included in all the data feed:
•All open deals.
•Any forward starting deals. ",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_BTB_CASH,5G;6G;LCR - US;LCR -UK;Liquidity Snapshot;PRA110;ILST;ILST - UK;SSMLT;Asset Encumbrance;NSFR U.S.,491,TAPS_EUR,btb_cash,5:00 LNT  T+1 10:20am ,12659.0,"FDW
","Cash at Bank Balance
",Division - ISG; E*TRADE Banks​,Yes,MSBNA/MSPBNA,Cash,High,FSS-Data Services; FSS-Liquidity Reporting,E*TRADE Version,Push,,LFC,Mohit Bindal / Unmesh Kulkarni,Mohit Bindal
CVA Trade Equity IA,264,Feed,Active,"​CVA Trade Equity IA feed provides us the trade level data along with its maturity date, early termination date, IA adjustments amount and whether it’s already segregated or not. Using this feed, we will be deriving IA at 1 year and IA at 1 month for each trade after applying FX rates.","

Entity Scope: All MS Entities
Product Scope: The feed will include only Equity Swap products",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_CVA_TRADE_EQUITY_IA,,3748,Credit Risk RDX,cva_trade_equity_ia,11:00 LNT,12659.0,,​Initital Margin,"​Prod Type: OTC Derivatives, OTC Equity Derivatives, Equity Swap",Yes,None,TBD,High,None,,Push,,,,
CVA Group Equity IA,265,Feed,Active,"​CVA Group Equity IA feed provides us the collateral group level IA (Initial Assets / Independent Amount) data along with early termination date and whether it’s already segregated or not. Using this feed, we will be deriving adjusted IA for each time horizon like 1D, 1M, 3M, 6M and 1Y.","Entity Scope: All MS Entities

Product Scope: The feed will include only Equity Swap products",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_CVA_GROUP_EQUITY_IA,,3748,Credit Risk RDX,cva_group_equity_ia,11:00 LNT,12659.0,,​Initial Margin,"Prod Type: OTC Derivatives, OTC Equity Derivatives, Equity Swap​",Yes,None,TBD,High,None,,Push,,,,
Long Term Debt - BTB,268,Feed,Active,"This document covers the Liquidity Hub data requirements for Long term debt feed (this feed will replace 231 LTD carry value).

* Feed ID: 268
* Feed Name: Long term debt BTB
The BTB feed contains the PX data, the re-class (adjustments), and the final to post balance. (not available in PX)
Long term debt feed holds the carry value for unsecured borrowings population. This will be used FCG controller reporting and TLAC for accurately generating the required information as specified by the regulators.
Sourcing will be triggered by successful completion of Odessa job.​

"," 
Entity Scope:All MS Entities
Product Scope:Plain Vanilla and all Structured Notes
Accounts:All PV and SN accounts",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_LONG_TERM_DEBT_BTB,NSFR U.S.;Unsecured Funding (Debt),65979,FDW FDWDB,ltd_btb,BD1SOD – BD1 7:45AM EST Start of Day version  (all weekdays)  BD1EOD – BD1 End of Day version (all week days)  BD2ME-BD7ME – BD2 to BD7 Month end version – (only on BD2 to BD7 every month),12659.0,​N/A,"(1) Allocated Trade Contract (Trade Contract)
(2) Actual Settlement Date Account Balance
(3) Accounting Transaction
(4) Actual Settlement Date Account Balance","(1) IED/FID Structured Notes
(2) Structured Notes (Securitized Derivatives)
(3)  GCM Products
(4) Structured Notes (Securitized Derivatives)",Yes,MSBNA/MSPBNA,Borrowings,High,FSS-Data Services; FSS-Liquidity Reporting,BD1SOD,Push,,Upstream Technology Owner (ITSO):Chris Wronski  Upstream Technology Email Group (Development Team): wise-attr-dev  Liquidity Hub Development Owner: Niraj Kumar  Liquidity Risk Controller Owner: lfcproofandcontrol  Treasury Owner: Doyle Hunt,Chris Wronski,
RFM22-DS_2204_FACT_REPLACEMENT_COST,5022,Manual,Active,"​Manual data handoff from Risk Analytics team containing termination costs data that is used in Credit Downgrade model.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.


","Entity: All MOEs
Product Scope:QFC

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ate/,9AM - 11AM,63070.0,"​N/A
","​N/A
","​N/A
",,None,Derivatives - OTC,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Nyanoba Biradar / Sayantan Datta / Sundesh Lohana
OTC Collateral,270,Feed,Active,"1.      OneSource will generate the feed with the EOD snapshot of expected and settled collateral positions valued using haircut percent as of 10:30 pm EST and cusip prices, FX rates as of T.If the feed will generate on 29th Jan 2018 at around 11:30 PM EST then
a.      Record Date in the feed will be 20180129.
b.     Expected collateral positions booked in eGTS for COB 20180129 will be as of 06:30 PM EST.
c.      Settled collateral positions from Libra and Triparty for COB 20180129 will be as of 10:30 PM EST.
d.     FX rate and cusip prices will be as of EOD 20180129 for both expected and settled positions.
e.     The haircut percentage will be as of COB 20180129 10:30 PM EST for both expected and settled positions.",,Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,HUB_OTC_COLLATERAL,,3759,E*GTS,otc_collateral,12:00 am est,12659.0,,​Collateral Position,OTC Derivatives​,Yes,MSBNA/MSPBNA,Derivatives - OTC,High,None,"bilateral,clearing",Push,12:30 AM EST,,,
RFM23-DS_2205_DOWNGRADE_VM,5023,Manual,Active,"​Rating based thresholds data (TAPS Account level) is manually sourced from EGTS via RADAR. This data is manually loaded into the Credit Downgrade model.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.

","Entity: ALL MOEs
Product Scope:TAPS

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ate/,7PM - 9PM,63070.0,"​N/A
","​N/A
","​N/A
",,None,Derivatives - OTC,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Sundesh Lohana / Sayantan Datta
FID Structured CD SD,271,Feed,Active,"​This feed contains notional details at the settlement date view for all the FID structured CDs issued by MS. WISE data is queried using msx file deployed as an Odessa job. Upon notification through Odessa marker autosys job, we will pull in the data file generated based on msx containing initial notional and other trade attributes for these Structured CDs. Using the market value from FID Structured CD TD feed, scaled Market value based on SD notional is computed. Feed files are created using the data file and dropped into Liquidity Hub network location",All FID Entities,Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,HUB_FID_STRUCT_CD_SD,5G;6G;LCR - US;ILST;NSFR U.S.;Unsecured Funding (Debt),484,FDW ODESSA,fid_struct_cd_sd,14:00 GMT,12659.0,,​Market Value,​Structured CDs,Yes,MSBNA/MSPBNA,Deposits,High,FSS-Data Services; FSS-Liquidity Reporting,,Pull,,Stephen Kuster,Niraj Kumar,
Equity BU Allocation,263,Manual,Active,​Equity is an NSFR specific line driver that provides ASF benefits to BUs that help to offset their RSF funding gap.,"
Equity is an NSFR specific line driver that provides ASF benefits to BUs that help to offset their RSF funding gap.quity is an NSFR specific line driver that provides ASF benefits to BUs that help to offset their RSF funding gap.
The Liquidity Attribution workstream will leverage EBS as a source for equity items by level 6 business units. As EBS is a consolidated balance sheet view, the equity numbers received will be at a consolidated level.
The strategic state would allow for the split between non-bank vs. bank balances.",Not in Scope,nyqd_lmfr_ate,LIQUIDITY,HUB_EQUITY_BU_ALLOCATION,Attribution,Manual,Manual,equity_bu_allocation,Daily Jobs and Monthly : Controllers will manually upload/fillforward  the feed by 10:30 AM LN.,12659.0,​N/A,​Finance Accounting Balance,​Equity Capital - Common Equity,Yes,None,Equity,Medium,None,,Push,,,,
RFM24-DS_1601_REF_LEGAL_ENTITY,5024,Manual,Active,"​Legal entity reference data is sourced manually from Lexi viaBoxi reports. LFC then notify RFM IT if any updates are required to the entity reference data is it is currently stored as a static data table in the RFM.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.

","Entity: All MOEs
Product Scope:Entity Name

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ate/,9AM - 11AM,63070.0,"​N/A
","​N/A
","​N/A
",,None,TBD,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Nyanoba Biradar / Sayantan Datta / Sundesh Lohana
RFM25-DS_1602_REF_LEGAL_ENTITY,5025,Manual,Active,"​Legal entity reference data is sourced manually from Liquidity Hub viaBoxi reports. LFC then upload the data into the Credit Downgrade model.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.


","Entity: All MOEs
Product Scope:Entity Name

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ate/,9AM - 11AM,63070.0,"​N/A
","​N/A
","​N/A
",,None,TBD,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Nyanoba Biradar / Sayantan Datta / Sundesh Lohana
RFM26-DS_1603_REF_LEGAL_ENTITY,5026,Manual,Active,"​Legal entity reference data is sourced manually from Lexi viaBoxi reports. LFC then notify RFM IT if any updates are required to the entity reference data is it is currently stored as a static data table in the RFM.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.

","Entity: All MOEs
Product Scope:Entity Name

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ate/,9AM - 11AM,63070.0,"​N/A
","​N/A
","​N/A
",,None,TBD,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Nyanoba Biradar / Sayantan Datta / Sundesh Lohana
RFM27-egts_counterparty,5027,Manual,Active,"​EGTS counterparty data (Collaterization Type / Thresholds) is a manual data handoff received from Secured Financing Tech, who obtain the data from EGTS. This is manually uploaded to the RFM UI and included in the Data Source ETL.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.

","Entity: All MSE
Product Scope:OTC Collateral  


",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/egts/,9AM - 11AM,63070.0,"​N/A
","​N/A
","​N/A
",,None,TBD,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Sundesh Lohana / Sayantan Datta
RFM28-egts_umr,5028,Manual,Active,"​EGTS counterparty data (list of counterparty accounts which are marked as uncleared) is manual data sourced from EGTS via RADAR. This is manually uploaded to the RFM UI and included in the Data Source ETL.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.

","Entity: N/A
Product Scope:N/A


",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/egts/,9AM - 11AM,63070.0,"​N/A
","​N/A
","​N/A
",,None,TBD,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Nyanoba Biradar / Sayantan Datta / Sundesh Lohana 
RFM29-rrp_DS_REF_CURRENCY,5029,Manual,Active,"​Currency reference data is sourced manually fromLiqudity Hub viaBoxi reports. LFC then manually upload in the RFM UI (included in Data Source ETL).

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.


","Entity: N/A
Product Scope:Currency

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ds_ref_currency/,9AM – 11AM,63070.0,"​N/A
","​N/A
","​N/A
",,None,TBD,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Nyanoba Biradar / Sayantan Datta / Sundesh Lohana
RFM31-rrp_SRC_CDS_NET_LONG,5031,Manual,Active,"​Manual data handoff from Budapest Reg Capital Controllers (Reg Cap Controllers - Calculation mail group) of Net Long CDS positions by cost centre level.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.


","Entity: All MOEs
Product Scope:Credit Default Swaps

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/cds_net_long/,11AM - 1PM,63070.0,"​N/A
","​N/A
","​N/A
",,None,Derivatives - OTC; Payables & Receivables,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Sundesh Lohana / Sayantan Datta 
RFM34-rrp_SRC_US_CREDIT_WATCHLIST,5034,Manual,Active,"​Manual data handoff showing counterparties at risk of default received from Risk team. Data is manually to RFM UI and included in the Data Source ETL.

Using the most appropriate source data for this feed and Automation is planned for 2021 end.


","Entity: N/A
Product Scope:Credit Risk


",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/us_credit_watchlist/,9AM - 11AM,63070.0,"​N/A
","​N/A
","​N/A
",,None,Derivatives - OTC,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Sundesh Lohana / Sayantan Datta 
RFM35-rrp_SRC_CCF_MAPPING,5035,Manual,Active,"​Credit Conversion Factor (CCF) data is a manual handoff received from NY Reg Capital Controllers (DominickAbbatiello Jr). Currently this data source is only updated on an annual basis.

Using the most appropriate source data for this feed and have no plan/timeline to update this feed so far.

","Entity: N/A
Product Scope:CCF

",Not in Scope,nyqd_lmfr_ate,,,RFM,Manual,Manual,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/ccf_mapping/,9AM - 11AM,63070.0,"​N/A
","​N/A
","​N/A
",,None,TBD,High,None,,Pull,,Rachel Zheng,Ganesan Thangamuthu,Sundesh Lohana / Sayantan Datta 
RFM37-0302_CoRep_Forecasting_Export,5037,Feed,Active,"​Feed provides the spot balance of various capital requirement of MSIP entity. It is used to calculate operational risk spot,rwa , cent one detection .Finally It  is used to find out minimum capital requirement .

","Entity: MSCO Entity In  FIRMProduct Scope:MCL in RFM

",Assessed,nyqd_lmfr_ate,,,RFM,12664,FDW Axiom LN,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/axiom/corep/,12.00 PM – 6PM,63070.0,"​Axiom via RODS & RACE​

","​Regulatory Capital​

","​RFM MCL only
",Yes,None,All Products,High,None,,Push,,Rachel Zheng,Harini Seshadri,Sundesh Lohana / Tanmayi Panda 
RFM38-9177_CoRep_Forecasting_Export,5038,Feed,Active,"​Feed provides the spot balance of various capital requirement of MSEHSE entity. It is used to calculate operational risk spot,rwa  .Axiom balance sheet along with Derivative OTC winddown and IRB forecast by risk  is used for cet1 detection
It is used to calculate MSEHSE Leverage capital required throughout the wind down period. Finally used in MCL calculation.

","Entity: MSEHSE Entity In  FIRM
Product Scope:MCL in RFM..

",Assessed,nyqd_lmfr_ate,,,RFM,12664,FDW Axiom LN,/v/region/na/appl/corptsy/rfm/data/prod1/feeds/axiom/corep/,12.00 PM – 6PM,63070.0,"​Axiom via RODS & RACE​

","​Regulatory Capital​

","​RFM MCL only

",Yes,None,All Products,High,None,,Push,,Rachel Zheng,Harini Seshadri,Sundesh Lohana / Tanmayi Panda
Asset Tier,272,Feed,Active,"​The feed is sourced from LRD (Liquidity Risk Division) system. Feed will contain security Pool details like Asset tier, Brm Asset class , Region and Asset type .​",,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_ASSET_TIER,ILST,932,Market Risk RAVE,asset_tier,10:00PM NYT T (Same Day),12659.0,,Secured Funding Pool,Repurchase Agreement; Securities Lending; Risk Vision. Specific with different Tier classification,Yes,MSBNA/MSPBNA,Reference Data,High,None,,Push,9:00PM NYT T (Same Day),Liquidity Funding Controllers,Niti Singh,
Average Daily Volume,273,Feed,Active,​This feed sources the historical dataset for equities trade volume over 365 days from Horizon.Trade volume for equities present in Firm inventory will be sourced along with price for each date over the last 365 days and will be leveraged for calculating average daily volume,,Assessed,nyqd_lmfr_ate,RFM,AVERAGE DAILY VOLUME,ILST - UK;RFM,10994,Horizon,avg_dv,13:00 LNT,12659.0,,​Market Statistics​,​Corporate Equity,Yes,MSBNA/MSPBNA,Inventory - Investment Securities; Inventory - Trading Securities,Medium,None,,Pull,,,,horizon-dscope-content-dev
FX Principal Derivatives,274,Feed,Active,​This document covers the data requirements for foreign exchange transactions for ALMM C66 and PRA110 reporting. The purpose of creating the data feeds is to enable to collect data in the Firm’s Liquidity Hub for the UK reports​,,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_FX_PRINCIPAL_DERIVATIVES,ALMM C66;LCR -UK;PRA110;SSMLT,563,CVA Trader,fx_pe_derivatives,11:00AM GMT on T+1,12659.0,,​Allocated Trade Contract,"Foreign Exchange (FX) Cash, Listed Foreign Exchange Derivative, OTC Foreign Exchange Derivative",Yes,None,Derivatives - OTC; Derivatives - Listed,High,None,,Push,,Lynsey Park,Niti Singh,Niti Singh
Budget Allocation,275,Manual,Active,"​Feed contains budget notional and drawn balances details for the business units along with Business Unit Level 5, 6 and 7. The upload will include Level 7 breakouts within SPG and IBD​",,Not in Scope,nyqd_lmfr_ate,LIQUIDITY,HUB_BUDGET_ALLOCATION,Attribution,12659,LiquityHub,budget_allocation,11:30 PM T+1,12659.0,,​P&L Budget,​Institutional Securities and Wealth Management,,None,TBD,High,None,,Push,2 AM LNT,Dan Murphy,Niti Singh,Ankur Sharma
FTP Tenor,276,Feed,Active,"Feed contains Tenors, Commitment, Funded, WAL, Index, Index rate, Spread, Rate for the business units at level 6 for Loans. The upload will include product level breakdown within SPG and IBD​
",,Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,BUF_FTP_TENOR,Attribution,12659,LiquityHub,ftp_tenor,3:30AM NYT T+1,12659.0,,​Spread Rate,​Division : Institutional Securities; Free Text : Fund Transfer Pricing Tenor & Spread,Yes,None,TBD,High,None,,Push,2 AM LNT,Dan Murphy,Niti Singh,Ankur Sharma
Raven JV,277,Feed,Active,"Feed contains cost centre information along with the effective allocation against each cost centre for Joint Ventures and this information will be used for Liquidity Attribution. Information is sourced from system named Raven
",Feed contains cost centre information along with the effective allocation against each cost centre for Joint Ventures,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_RAVEN_JV,Attribution,422,Raven,ravenjv,05:30 AM LNT,12659.0,,​Business Activity Allocation,​Institutional Securities,Yes,None,All Products,Medium,None,,Push,,,Niti Singh,liq_attribution_dev
Account Beneficiary Mapping,280,Feed,Active,​Feed contains mapping between deposit accounts and beneficiary. This will be used in BDP calculation to determine beneficiary for a given account.​,,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_ACCT_BENEFICIARY_MAPPING,ILST,37951,MSWM,acct_mapping_aidt,8:00 EST,12659.0,,​Customer Account,​Division:Retail Banking,Yes,MSBNA/MSPBNA,Deposits,High,None,,Push,6:00AM-7:00AM EST,,,
BDP Position,281,Feed,Active,​BANK DEPOSITS PROGRAM - The purpose of creating the feed is to collect Bank Deposits Program data in the Firm’s Liquidity Hub for the daily reports in ILST to calculate insured and uninsured balance at beneficiary level.​,,Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,HUB_BDP_POSITION,ILST,37951,MSWM,bdp_aidt,8:00 EST,12659.0,,​Actual Settlement Date Account Balance,Product Type : BDP Bank Deposits,Yes,MSBNA/MSPBNA,Deposits,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,6:00AM-7:00AM EST,,,
Savings Position,282,Feed,Active,​Saving Account deposit- The purpose of creating the feed is to collect Bank Deposits Program data in the Firm’s Liquidity Hub for the daily reports in ILST to calculate insured and uninsured balance at beneficiary level.​,,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_SAVINGS_POSITION,ILST,37951,MSWM,savings_aidt,8:00 EST,12659.0,,​Actual Settlement Date Account Balance,​Product Type : Savings Deposits,Yes,MSBNA/MSPBNA,Deposits,High,FSS-Data Services; FSS-Liquidity Reporting,,Push,6:00AM-7:00AM EST,,,cfpdev
MS Global Currency Deposits,283,Feed,Active,​The purpose of creating the feed is to collect Deposits held by Wealth Management clients in other currencies data in the Firm’s Liquidity Hub for the daily reports in ILST to calculate insured and uninsured balance at beneficiary level​,,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_MSGC_DEPOSITS,ILST,37951,MSWM,gc_aidt,8:00 EST,12659.0,,Actual Settlement Date Account Balance,Product Type : MS Global Currency Deposits,Yes,MSBNA/MSPBNA,Deposits,High,FSS-Liquidity Reporting,,Push,6:00AM-7:00AM EST,,,cfpdev
MS Issued CDs Position,284,Feed,Active,​The purpose of creating the feed is to collect MS Issued CDs to WM Clients data in the Firm’s Liquidity Hub for the daily reports in ILST to calculate insured and uninsured balance at beneficiary level.​,,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_MS_ISSUED_CD,ILST,37951,MSWM,cd_aidt,8:00 EST,12659.0,,​Actual Settlement Date Account Balance,Product Type : MS Issued CD Positions,Yes,MSBNA/MSPBNA,Deposits,High,None,,Push,6:00AM-7:00AM EST,,,cfpdev
FX Swaps,279,Feed,Active,​FX Swap data sourced from DerivOne containing all transaction details for trades booked across the firm by global Morgan Stanley entities.​,,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_FX_SWAPS,IRRBB,12754,DerivOne,fxswap,12AM NYT Tuesday - Saturday,12659.0,,​Trade Contract,​OTC Derivative,Yes,MSBNA/MSPBNA,Derivatives - OTC,High,Tsy-IRRBB,,Push,,Doyle Hunt,,treasuryrisk-dev
GCBM OTC POSITIONS,286,Feed,Active,"​Finance data for OTC  Derivatives will come from RACE. These finance data will give Treasury insight of  trade details, pnl, balancesheet etc. ​
This data will be used for Resolution and Financial planning. It has to be used to joined with firm's risk exposure data to calculate the required hedges.
",,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_GCBM_OTC,RFM,38470,Race,gcbm_otc,8:00LNT,12659.0,,Trade Date Position,​OTC Derivative,Yes,None,Derivatives - OTC,Medium,None,,Push,,,Niti Singh,rfm_dev
GCBM LISTED POSITIONS,287,Feed,Active,"GCBM LISTED POSITIONS feed contains the Listed Derivatives finance positions which is coming from the RACE system.​ Finance data for Listed Derivatives will come from RACE. These finance data will give Treasury insight of  trade details, pnl, balancesheet etc. This data will be used for Resolution and Financial planning. It has to be used to joined with firm's risk exposure data to calculate the required hedges.","Entity Scope: The feed will include all Morgan Stanley entities.Product Scope: The feed will include Listed Derivative finance position which will be used by RFM Derivatives model for its calculations like risk based losses, daily mtm etc.Accounts: N/A",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_GCBM_LISTED,Attribution;RFM;SSMLT,38470,Race,gcbm_listed,Daily Jobs: 7 am EST ,12659.0,"​NA
","Trade Date Position

","Listed Deriviative
",Yes,None,Derivatives - Listed,High,None,,Push,,Doyle Hunt,"Niti Singh / Datta, Sayantan",rfm_dev
MRDW MTM Risk,285,Feed,Active,​Risk exposures from MRDW will be matched against Finance data of Firm and this joined dataset will be used for calculating hedging requirements for firm's risk exposures. MRDW will send these feeds as 7 different version feeds which each represents a specific risk desk​,All,Proposed for Deco,nyqd_lmfr_ate,LIQUIDITY,HUB_MRDW_MTM_RISK,RFM,932,Market Risk RAVE,mrdw_mtm_risk,Weekly,12659.0,,"(1) Stress Test (Market Risk)
(2) Risk Sensitivity Measure",​Institutional Securities Group & Global Wealth Management,Yes,MSBNA/MSPBNA,Inventory - Investment Securities,Medium,None,,Push,,,Niti Singh,rfm_dev
Long Term Debt Libra Cashflow,289,Feed,Active,"Sourcing cashflow in to LH to provide better  and structured reporting for borrowings related cash flow disclosures in the financial statements?
",All MS Entities,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_LTD_LIBRA_CASHFLOW,Unsecured Funding (Debt),5911,Libra,Ltd_libra_cashflow,05:30 AM LNT BD2ME and BD6ME,12659.0,​N/A,​Sub-Ledger Journal,​ISG,Yes,None,Borrowings,High,None,,Pull,,,,Niraj Kumar
SAP GL IFRS Hierarchy,290,Feed,Active,"​The source system ATLAS will generate the Feed on the first business day of every month and write to an output destination. Liquidity Hub file poll-er will pick this feed, process it and store it in the relevant tables​
","The Legal Entity scope for the project includes all Morgan Stanley entities globally
",Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_SAP_GL_ACCOUNTS_IFRS,NSFR U.K,199,ATLAS,sap_gl_ifrs_accounts,13:00 LNT,12659.0,,"GL Account Hierarchy

","​All divisions​ + IFRS Hierarchies

",Yes,MSBNA/MSPBNA,Reference Data,High,None,,Pull,,,Piyush Tekriwal,lfcctbdev
U.S. Bank FTP Spread Rates,291,Feed,Active,"
​Feed contains Unfunded FTP Tenor and Spread for the business units at level 5, 6 and 7 and this information will be used for Liquidity Attribution. The feed data will be used for calculating the PnL for Business Units​
",,Assessed,nyqd_lmfr_ate,LIQUIDITY,HUB_FTP_SPREAD_RATES,Attribution,62741,PBG Finance Framework,ftpspreadrates,08:30 LNT,12659.0,"​N/A
","​Spread Rate

","​Institutional Securities and Wealth Management​

",Yes,MSBNA/MSPBNA,All Products,High,None,,Push,,,Anatoliy Yevtushenko,liq_attribution_dev
