Name,Description
Client Code,Unique identifier for each client in the system
Client Portfolio Performance,"The performance of a client's portfolio, represented by a string"
Workstream Identifier,Unique identifier for each workstream in the project
Future Date,A string representation of a future date in the format of DD/MM/YYYY
Entity Name and Related Information,"The name of the entity, its ownership percentage, maturity date, trade date, and settlement currency for financial instruments"
Maximum Commitment Limit,The highest amount that can be committed by a client in the system
Maximum Commitment,The highest amount of money that can be committed to a specific investment or transaction
Contractual Commitment,The amount of money committed by the financial institution to fulfill contractual obligations
Client Portfolio ID,Unique identifier for each client's portfolio in the system
Default Probability,The default probability value assigned to a client in the system
Loan Demand Indicator,A boolean flag indicating if a loan demand exists for a client
Depository Address,The location where the depository is situated
Depository Party,Entity responsible for holding and safeguarding financial assets
Unique Identifier for Data Warehouse,A unique alphanumeric identifier assigned to each data warehouse client in the system
Unique Identifier for Data Request,A unique alphanumeric identifier assigned to each data request submitted to the system
Effective Days,The number of days for which the data is effective or valid
Facility Origination Date,Date when a facility was established or started operations
Client Reference,Unique identifier for each client of the financial institution
Floor Rate,Minimum acceptable price for a financial transaction
Forward Start Amount,The initial notional amount for forward transactions at the start of the trade
Forward Start Date,The date on which a financial instrument or contract becomes active or starts in the future
Funded Amount,The total amount of funds allocated to a specific investment or financial instrument
Unfunded Loan Amount,The total amount of loans that have not been fully funded by investors in the system
Unfunded Committed Loan Amount,The total amount of loans committed to but not yet funded by the financial institution
Loan Collection Indicator,A flag indicating if a loan is part of a collection
Account Location,The specific account location associated with a financial transaction
Loss Given Default,Estimated loss that would be incurred if a counterparty defaults on its obligations
Next Rate Change Date,Date when the interest rate of a financial instrument is expected to change
Notional Swap Exposure,"The theoretical exposure of a swap transaction, representing the potential gain or loss from the transaction"
Original Origination Date,Date when the financial instrument was first originated or issued
Loan Origination Date,Date when a loan was originated or created
Original Plan Number,Unique identifier for the original investment plan in the system
Payment Calculation Method,The method used to calculate payments in the system
Product Classification,Categorization of financial products offered by the institution
Product Type Description,A brief description of the product type in the financial database
Client View Purpose Indicator,An alphanumeric code representing the purpose of a client view in the system
Trade Quantity,The number of trades executed in the financial market
Data Reset Frequency,Specifies the frequency at which data is reset or refreshed in the system
Reset Frequency,Specifies the frequency at which the data in the system is reset or refreshed
Unique Identifier for Execution,A unique identifier assigned to each execution of a specific process or task
Unique Identifier for Data Processing Job,A unique alphanumeric identifier assigned to each data processing job in the system
Security Long Description,"A detailed description of a security, often used for identification purposes"
Settlement Status Indicator,"A flag indicating whether a transaction has been settled or not, used for tracking the status of financial transactions"
Unique Identifier for Database Tables,A unique identifier assigned to each table within the database
Debt Type,The type of debt instrument being managed in the system
Encumbrance Status,"Indicates whether an asset is encumbered or unencumbered, affecting its availability for trading or other transactions"
Unfunded Liability,"The present value of benefits earned by employees but not yet funded, used in pension accounting"
Unfunded Collateralized Exposure Percentage,The percentage of unfunded collateralized exposure in the financial transactions
Unfunded Liabilities for Others,The amount of unfunded liabilities attributed to other parties in the financial system
Unfunded Swap Balance Percentage,The percentage of unfunded swap balance in the client's account
Client Trading Amount,The total US Dollar trading amount executed by the client
Accounting Treatment,The method used to account for financial transactions in the system
Account Tier,Categorization of accounts based on their balance or transaction value
Account Treatment,Specifies how accounts should be treated in the context of a market shock scenario
Market Shock Sensitivity,The degree to which the financial institution's commitments are affected by market shocks
Adjusted Maturity Date,The date when the financial instrument's maturity is adjusted due to a market shock event
Market Shock Affiliation,Indicates the affiliation of a market shock event to a specific entity or group within the organization
Market Shock Allocated Stress Loss Ratio,The allocated stress loss ratio for a specific market shock scenario
Market Shock Allocation,Allocation of trade profit and loss (PnL) for market shock scenarios
Market Shock Financial Impact,"The financial impact of a market shock event on the company, represented as a floating-point number"
Market Shock Balance Bank 1,The balance of Bank 1 affected by a market shock event
Market Shock Balance Bank,The balance of a bank account that may be affected by market shocks
Market Shock Balance Impact,The impact of a simulated market shock event on the balance of a specific bank account
Market Shock Inflow,The impact of a market shock event on the cash inflows of a financial institution
Market Shock Outflow,The potential outflow of funds due to a market shock event
Asset Classification,Categorization of assets based on their type or nature
Asset Class Group,Classification of assets based on their economic characteristics
Asset Sub-Type,Categorization of financial assets within a specific tier
Asset Tier,Categorization of assets based on risk and return characteristics
Asset Type,Type of asset affected by a market shock event
Market Shock Assessment Date,The specific date used for evaluating the impact of a market shock event
Average Age,The average age of the data or the time series in the dataset
Average Life,The average duration of a financial instrument's cash flows
Book Name,Name of the book containing the market shock impact data
Book Identifier,Unique identifier for a specific book in the Market Shock Impact database
Company Identifier,Unique identifier for each company in the market shock impact analysis
Market Shock Impact Region,Region affected by a market shock event in the financial system
Market Shock Strategy,The strategy employed to mitigate the impact of market shocks on the financial institution
Maximum Balance Amount,The highest balance amount recorded for a specific financial instrument
Market Shock Balance,The balance of a financial portfolio after simulating the impact of a market shock event
Market Shock Impact,Assessing the impact of market shocks on the financial institution's risk exposure
Basel III Local BTI,"A measure of the impact of a market shock on the bank's risk-weighted assets, as defined by the Basel III regulatory framework."
Base Currency,The primary currency used for calculations and analysis in the Market Shock Impact model
Market Shock Forward Amount,The amount of financial exposure in the market due to potential shocks
Base Forward Exchange Rate,The starting exchange rate used for calculating the impact of market shocks on financial instruments
Base Forward Rate,The starting point for calculating forward rates for different maturity dates
Market Shock Index,Identifier for the market shock index used in the analysis
Market Shock Index Rate,Rate used to measure the impact of market shocks on financial instruments
Base Maturity Amount,The initial principal amount used in calculating the impact of market shocks on financial instruments
Base Maturity Amount in Local Currency,"The original amount of a financial instrument at its maturity date, expressed in the local currency"
BBB Open Date,The date when the BBB (Baa3) bond opened in the market
Market Shock Open Date,Date when the market shock event occurred
Market Shock Beneficiary,Entity or individual that benefits from a market shock event
Market Shock Beneficiaries,Identification of the parties that benefit from a market shock event
Beneficiary Identifier,Unique identifier for each beneficiary in the Market Shock Impact analysis
Market Shock Loss,Estimated loss incurred by the company due to a market shock event
Market Shock Indicator,Indicator of the impact of a market shock event on a specific financial instrument
Market Shock Impact Book,Identifies the specific book related to market shock impact analysis
Booking Region,Geographical region where a transaction is booked
Brokered Deposit Indicator,A flag indicating if a deposit is brokered or not
Market Shock Net Long Position in US Dollars,The financial market's exposure to potential losses or gains due to fluctuations in currency exchange rates
Market Shock Net Short Position,The net short position in US Dollars resulting from a market shock scenario
Budget Commitment Amount,Estimated financial commitment required to address market shocks
Budget Allocation,The amount of budget allocated for a specific purpose or project
Budget Month,The month for which the budget data is being considered
Currency Exposure,Identifies the currency in which the market shock impact is being measured
Market Shock Notional Exposure,The total nominal value of financial instruments exposed to market shocks
Maximum Original Notional Amount for Buy Transactions,The highest possible notional amount for buy transactions in the market shock impact analysis
Trading Indicator,Indicates whether a trade is a buy (B) or sell (S) transaction
Business Unit Risk System,Identifies the risk management system associated with each business unit
Book of Business,The set of financial products and services offered by a specific unit within the organization
Market Shock Calculation Type,Type of calculation used to assess the impact of market shocks on the financial institution
Market Shock Probability,Estimated probability of a market shock event occurring
Carry Value,The value of a position that could be lost or gained due to market shocks
Market Shock Impact Category,Classification of the impact of market shocks on different aspects of the business
Market Shock Impact Categories,Categories of financial instruments or products affected by market shocks
CCAR Asset Product Category,Risk classification of assets in the Comprehensive Capital Analysis and Review (CCAR) process
CCAR Business Category,Classification of business units for Comprehensive Capital Analysis and Review (CCAR) purposes
Division Name,Name of the division within the Cost Center
Client Entity Identifier,Unique identifier for a client in the Market Shock Impact analysis
Market Shock Type,Type of market shock impacting the financial institution
FDIC Insurance Type,Type of FDIC insurance associated with a market shock event
FDIC Institution Type,The type of financial institution regulated by the Federal Deposit Insurance Corporation (FDIC)
FDIC Coverage Type,Type of FDIC coverage applicable to a financial institution
FDIC Type,Federal Deposit Insurance Corporation (FDIC) type for a specific market shock event
Market Shock Report Group,Identifies the group of reports related to market shock scenarios
Market Shock Report Group Revenue,Revenue generated by the Market Shock Report group
Market Shock Source,Identifies the source of a market shock event in the financial system
Reference Identifier,Unique identifier for referencing specific data elements
Market Shock Risk Weighted Assets,"The risk associated with potential market shocks, expressed as a weighted asset value"
Average Life of Combined Portfolio,"The average remaining lifetime of a combined portfolio in years, calculated using the Cash Flow Parallel (CFP) method"
Market Shock Combined Exposure Matrix Date,"Date of the Market Shock Combined Exposure Matrix, which is a tool used to analyze the impact of market shocks on the financial institution"
Market Shock Combined Exposure Material Date,The date when the combined exposure data is available for market shock analysis
Average Life of Portfolio,"The average duration of a portfolio's life, calculated based on the market shock impact"
Market Shock Synchronization Expiration Date,Date when the market shock impact synchronization expires
Market Shock Average Life,The average duration of market shocks experienced by the financial institution
Market Shock Impact Date,Date of the market shock materiality assessment
Market Shock Exposure Matrix Date,Date when the market shock exposure matrix is calculated
Worst Expected Materialization Date,The date on which the worst expected change in the Constant Proportion Portfolio Insurance (CPPI) rates is projected to occur
Client Cleared Leg Type,"The type of leg in a client's cleared trade, representing the specific financial instrument or transaction"
Client Household Identifier,Unique identifier for each client household in the Market Shock Impact analysis
Closed Position Market Value,The current market value of a closed position in a financial instrument
Closed Structure Structural Market Value,"The structural market value of a financial instrument or portfolio under a closed-structure assumption, which means that no trading or price discovery is allowed."
Interest Rate Sensitivity,The sensitivity of the financial instrument's value to changes in interest rates
Commodity Type Code,A unique identifier for each commodity type in the market shock impact analysis
COB (Close of Business) Date,The date when the market shock impact data was last updated
Collateral Classification,Categorization of collateral assets based on their type and characteristics
Collateral CUSIP,Unique identifier for financial instruments used as collateral in financial transactions
Collateral Indicator,A flag indicating whether a specific market shock impact is related to collateral
Collateral Net Liquidity,The net liquidity available in collateral after accounting for its obligations
Collateral Par Value,The value of collateral used to mitigate the impact of market shocks
Collateral Quantity,The amount of collateral used to mitigate the impact of market shocks
Collateral Account Identifier,Unique identifier for a collateral account in the Market Shock Impact analysis
Collateral Type Description,A brief description of the collateral type used in the Market Shock Impact analysis
Collateral Value Conversion,The converted value of collateral in the Market Shock Impact analysis
Collateral Value Currency,The currency in which the collateral value is denominated
Market Shock Collection Group,A categorization of market shocks for better organization and analysis
Collection Group,A unique identifier for a group of related collections in the system
Market Shock Timestamp,Date and time when a market shock event occurred
Market Shock Identifier,A unique identifier for each market shock event
Market Shock Scenario,A hypothetical situation simulating the impact of an unexpected event on the financial markets
Market Shock Comment,A text field to provide additional information or context about the impact of a market shock event
Market Shock Component Identifier,Unique identifier for each component affected by a market shock event
Credit Rating,A standardized measure of the creditworthiness of a debtor or a financial instrument
Consent Required,Indicates whether consent is required for a specific market shock impact
Consolidated 10Q Level 2,"Second-level hierarchy of financial data in the 10Q report, which provides detailed information about the company's liabilities and shareholders' equity"
Consolidated 10Q Level 3,"The lowest level of detail in the 10Q financial report, providing a breakdown of the company's financial data"
Consolidated 10Q Level 4,A specific level of detail in the financial reporting process
Consolidated 10Q Level 5,A specific level of detail in the financial reporting of a company's performance
Consolidated 10Q Level 7,A specific level of financial data consolidation in the 10Q report
Consolidated 10Q Level 8,The 10Q is a financial report filed by public companies with the U.S. Securities and Exchange Commission (SEC). Consolidated 10Q Level 8 refers to a specific level of detail within the report.
Consolidated 10Q Level 9,A specific level of financial data consolidation in the 10Q report
Consolidated Cost Center,A group of cost centers combined for reporting and analysis purposes
Consolidated Center Level 3,High-level grouping of cost centers for financial reporting purposes
Consolidated Center Level 5,High-level grouping of cost centers for market shock impact analysis
Consolidated Center Level 6,The highest level of consolidation for cost and revenue reporting purposes
Consolidated Center Level 7,The highest level of consolidation for cost centers within a specific region or division
Consolidated Center Level 8,Eight level hierarchy for consolidating financial data from different cost centers
Consolidated Center Level,A specific level of consolidation within the organization for financial reporting purposes
Consolidated Group,A group of related legal entities that are consolidated for financial reporting purposes
Consolidation Group,A group of financial instruments that are consolidated for risk management purposes
Management Consolidation Level 1,First-level management consolidation group for market shock impact analysis
Management Consolidation Level 2,Second-level management consolidation group for assessing market shock impact
Management Consolidation Level,Hierarchical level of management consolidation within the organization
Market Shock Management Level,Level of management for assessing the impact of market shocks on the organization
Market Shock Conversion,Indicates whether a Market Shock scenario has been converted into an actionable task
Cost Center Region,Geographic region associated with a specific cost center
Cost Center Level 1,First-level cost center classification for tracking and managing costs
Cost Center Level 2,Second-level organizational unit within the Cost Center hierarchy
Cost Center Level 3,Third-level division within the organization for cost allocation and reporting purposes
Cost Center Level 4,Fourth-level grouping of cost centers within the organization
Cost Center Level 7,The seventh level of cost center hierarchy for tracking and managing expenses
Counterparty Representative,The representative of a counterparty involved in a transaction or trade
Counterparty Sector,The industry or sector of a financial counterparty involved in a market shock event
Country,The country where the market shock impact is being analyzed
Country of Jurisdiction,The country where the legal and regulatory jurisdiction of a market shock event applies
Country Risk Exposure,The country where the financial risk originates from
Bond Coupon Rate,Interest rate paid by a bond issuer to the bondholder
Bond Coupon Class,"The type or category of a bond's interest payment, such as fixed or floating rate"
Coupon Rate,Interest rate paid on a bond's face value
Bond Type,Type of bond associated with a market shock event
Client Account Identifier,Unique identifier for each client account in the system
Market Shock Netting Benefit,The net positive impact on the company due to market shocks
Hypothecable Reconstitution Flag,Indicator of whether the portfolio can be reconstructed in the event of a market shock
Credit Adjustment,The change in credit exposure due to a market shock event
Credit Ultimate Party Identifier,Unique identifier for the party ultimately responsible for the credit exposure
CRM Flag,Indicator of whether a Market Shock event is related to a Customer Relationship Management (CRM) issue
Market Shock Netting Group,Identifies the group of financial instruments affected by a market shock event
Currency of Measure,The currency used for expressing the value of financial transactions or amounts in the system
Market Shock Notional Value,The current notional value of financial instruments affected by a market shock event
Curve Name,Identifies the specific curve used for market shock impact analysis
Customer Account Identifier,Unique identifier for each customer account in the system
Days to Maturity,Number of days remaining until the maturity of a financial instrument
Day Count,"Number of days in a specific period, often used for calculating accrued interest or tracking performance metrics"
Decomposed Swap Chain,A detailed breakdown of the swap chain structure in the context of market shock impact analysis
Market Shock Flag,Indicator of whether a market shock scenario is applied to the data
Market Shock Depth,The maximum possible negative impact due to a market shock event
Previous Dependent Market Shock Amount,The amount of dependent market shocks that occurred in the past
Market Shock Reclassification Amount,The amount of re-classification required due to market shocks in the financial system
Pre-Reclassification Maximum Impact Amount,The maximum possible impact on the portfolio before reclassification
Reclassification Amount,The amount of money being reclassified in the Market Shock Impact analysis
Previous Reclassification Amount,The amount of data previously reclassified in the Market Shock Impact analysis
Trading Desk Identifier,Unique identifier for each trading desk within the financial institution
Market Shock Direction,"Indicates the direction of the market shock, such as positive or negative, for a specific financial instrument"
Market Shock Display Level,Level of detail at which the impact of market shocks is displayed in the system
Market Shock Impact Display Level,Level of detail displayed in the Market Shock Impact analysis
Exposure at Default (EAD),Estimated loss that would be suffered if a counterparty defaults on its obligations
Earliest Maturity Date,The earliest date on which a financial instrument may mature or be redeemed
Early Redemption Subtype,The specific type of early redemption event that occurred
Early Termination Date,The date when a financial contract is terminated early due to market shocks
Market Shock Effect,The impact of a market shock event on the allocation of funds
Market Shock Effective Date,The date when the market shock impact becomes effective
Market Shock End Date,The date when the market shock event ends
Entity Consolidation,The process of combining multiple entities into a single one for reporting and analysis purposes
Entity Group,Classification of entities according to their type or category
Equity Trade Maturity Date,Date on which an equity trade is scheduled to mature or expire
Market Shock Exception Indicator,Indicates if a row in the Market Shock Impact table is an exception or not
Market Shock Exception Sign-off,A flag indicating that an exception has been signed off in the Market Shock Impact analysis
Market Shock Sign-off,Indicates whether an exception related to a market shock has been signed off
Market Shock Exclusion,Indicates whether a specific market shock scenario is excluded from the analysis
Facility ID for Loans Collateral,Unique identifier for each facility that serves as collateral for loans
Facility Origin Date,Date when a facility was originated or created
Facility Source Code,Unique identifier for the facility source in the Market Shock Impact analysis
Facility Status,"The current operational status of a facility, such as active or inactive"
Market Shock Failure Type,Type of failure in the market shock impact analysis
Funding and Derivatives Wisdom (FDW) Source,Identifies the source of funding and derivatives data used in the Market Shock Impact analysis
Market Shock Feed,Feed containing information about the impact of market shocks on the financial institution
Feed Product,The specific feed product used in the Market Shock Impact analysis
Unique Identifier for Market Shock Scenarios,A unique alphanumeric code assigned to each Market Shock scenario for identification and tracking purposes
Fill Forward Date,The date on which the missing data points will be filled forward in the Market Shock Impact analysis
Hedging Instrument Type,The specific type of hedging instrument used to mitigate market risks
Market Shock Entity Type,"Type of entity impacted by a market shock event, either the firm or a client"
First Accrual Date,The date when the first accrual period starts for a Market Shock Impact event
Floating Rate Day Count Convention,Specifies how interest rates are calculated for floating-rate financial instruments
Floater Investor Identifier,Unique identifier for an investor participating in a floating rate note transaction
Floater Margin,The margin earned from floating rate financial instruments in a portfolio
Floating Rate Index,A standardized measure of the cost of borrowing used in financial markets
Floater Reset Frequency,"The frequency at which the floater resets, used for risk management purposes"
Floating Share Value,"The value of floating shares in a portfolio, which can change based on market conditions"
Forward Starting Trade,"A trade that starts at a specific date in the future, typically used for risk management or hedging purposes"
Market Shock Simulation,The amount of funds initially invested in a market shock simulation
Forward Start Legacy Bucket Identifier,Unique identifier for the forward start legacy bucket in the Market Shock Impact analysis
Forward Start Legacy Basket Maturity End,The end date of the legacy basket maturity for the forward start
Market Shock Bucket,Categorization of market shock events based on their impact
Forward Start Value,The value of an option contract at the start of the forward period
Forward Start Value Currency,The currency in which the forward start value is denominated
Market Shock Occurrence,Indicates the frequency of market shock events
Market Shock Tenor,The duration or time period of a market shock event
Funding Type,Type of funding used by the financial institution
Currency Pairs for Market Shock Analysis,List of currency pairs used for assessing the impact of market shocks on foreign exchange transactions
Market Shock Netting,Indicates whether the market shock netting record is applicable or not
GAAP Code,A unique identifier for each financial instrument in the system
General Ledger Type,The type of general ledger account that the Market Shock Impact data is associated with
Market Shock Classification,Categorization of market shock impacts on different financial aspects
Market Shock Inclusion,Indicates whether a specific market shock scenario is included in the analysis
Financial Statement Level,Hierarchical level of financial statements in the accounting system
General Ledger Account Code,A unique alphanumeric code used to identify specific financial accounts in the general ledger system
GL Account Level 2,Second-level general ledger account code used for tracking and reporting financial data
GL Account Level 3,Third-level general ledger account code for categorizing financial transactions
GL Account Level 4,Fourth level of General Ledger account hierarchy for cost allocation
GL Account Level 5,Fifth level of granularity in the General Ledger account hierarchy
General Ledger Account Payable,Accounting record of money owed by the company to its creditors
Accounts Receivable Account Code,The unique identifier for each account receivable in the financial system
Currency Balance Amount,"The amount of currency held in a portfolio, which can be positive or negative"
Market Shock Haircut,The percentage of loss applied to the position during a market shock scenario
Hedging Entity,The entity responsible for managing risk through hedging strategies
Hedge Type,Type of hedge used to mitigate market risks
High Quality Liquid Asset Eligibility,Indicates whether an asset is considered a High Quality Liquid Asset (HQLA) and is eligible to be included in the Securities Pool (SECPOOL)
High Quality Liquid Asset Level,The level of High Quality Liquid Assets (HQLA) held by the financial institution to withstand market shocks
IFRS Net Loss Market Value,The net loss in market value of financial instruments due to a market shock event
IFRS Net SMV,The net market value of financial instruments according to the International Financial Reporting Standards (IFRS)
Market Shock Sensitivity Indicator,Indicator of whether a market shock impacts the population or not
Market Shock Impact on Cash Collection,The negative impact on cash collections due to a market shock event
Market Shock Cash Collection,The amount of cash received during a market shock event
Market Shock Sensitivity Segment,Segment representing the sensitivity of a market shock in the financial system
Initial Hedge Type,The type of hedge initially applied to a position in the market shock impact analysis
Initial Margin Exposure,The initial margin required to cover potential losses from market shocks
Instrument Type,The type of financial instrument being analyzed for market shock impact
Insurance Coverage,Indicates whether a financial instrument or position is insured against market shocks
Market Shock Insurance,Indicates whether a specific financial instrument is insured against market shocks
Intercompany ELM Group,A group of related entities within the organization for intercompany transactions and reporting
Intercompany Indicator,A flag indicating whether a record is related to intercompany transactions or not
Intercompany Relationship,Relationship between different companies or business units within the organization
Interest Rate Reset Frequency,The frequency at which the interest rate of a financial instrument is reset or adjusted
Interest Sensitivity,Indicates the sensitivity of a financial instrument or portfolio to changes in interest rates
Market Shock Internal Indicator,Indicates whether the Market Shock Impact is internal or external
Market Shock Internal,Internal indicator of the impact of a market shock event on the financial institution
Internal Party Name,Name of the internal party involved in the market shock impact assessment
Market Shock Indicator Type,Indicates whether the market shock impact is internal or external to the organization
Market Shock Relationship,Relationship between different factors affected by a market shock
Investor Entity,The legal entity responsible for making investment decisions
Investor Name,The name of the investor affected by a market shock event
Market Shock Amount,The amount of impact on the financial position due to a market shock event
Previous Impact Amount,The previous impact amount of a market shock event
Pre-Reclassification Impact Amount,The amount of money affected by a market shock event before reclassification
Previous IR Reclass Amount,The amount of interest rate reclassification applied to the portfolio in the previous period
Issuer Identifier,Unique identifier for the issuer of a financial instrument
Issuer Name,The name of the issuer in the Market Shock Impact analysis
Market Shock Issue Date,Date when a specific market shock event occurred
Business Recovery Management,Indicates whether business recovery management is required in response to a market shock event
Market Shock Callability,Indicates whether a financial instrument can be exercised in case of a market shock event
Market Shock Guarantee,Indicates whether a financial instrument is guaranteed in case of a market shock event
Market Shock Impact Indicator,Indicates whether the market shock impact is related to an internal financial holding company or not
Internal Legal Entity Flag,Indicates whether the legal entity is internal or external to the organization
Market Shock Puttable Attribute,"Indicates if a market shock event is puttable, or can be exercised, by the counterparty"
Liquidity Coverage Ratio Category,Categorical description of the liquidity coverage ratio calculation
Legacy General Ledger Account,Account numbers from the previous financial system used for tracking transactions
Market Shock Lendable Value,Estimated value of loans that can be provided during a market shock event
Lendable Value,The value of assets that can be lent or borrowed in a financial market
Lendable Value Conversion,The conversion of lendable value into a different format or currency
Lendable Value Currency,Currency denomination of the lendable value for a specific market shock scenario
Liquidity Facility Currency,The currency in which the liquidity facility is provided
Liquidity Facility Letter of Credit,A letter of credit issued by a financial institution to ensure the availability of funds in case of a liquidity crisis
Liquidity Net Shortfall Agreement,Indicates whether a liquidity net shortfall agreement is present for the market shock impact analysis
Market Shock Loss Value,Estimated loss in value due to a market shock event
Loan Account Identifier,Unique identifier for each loan account in the system
Loan Amount Unfunded Max,Maximum unfunded loan amount for a specific market shock scenario
Maximum Unfunded Committed Loan Amount,The highest possible unfunded loan commitment amount for a given market shock scenario
Loan Application Identifier,Unique identifier for each loan application
Loan Facility Control Number,Unique identifier for each loan facility in the Market Shock Impact analysis
Loan Index Identifier,Unique identifier for each loan in the Market Shock Impact analysis
Loan Opening Date,Date on which a loan account was opened
Loan Outstanding Balance,"The remaining amount to be repaid on a loan, excluding interest and fees"
Margin Account Entity,Identifies the specific margin account associated with a trade
Margin Account Type,Type of margin account associated with a specific trading strategy
Margin Account Type Description,A string representation of the type of margin account held by the client
Market Shock Entity,Identification of the specific market shock event affecting the financial institution
Margin Frequency,The frequency at which margin calculations are performed for risk management
Market Shock Currency,Currency in which the market shock impact is measured
Market Shock Value,The value of the market shock impact in millions of dollars
Master Agreement Description,A brief summary of the terms and conditions of a financial contract
Maturity Bucket End,The end date of a specific maturity bucket used for market shock impact analysis
Maturity Bucket Start,The beginning date of a specific maturity range for market shock impact analysis
Maturity Value,"The value of a financial instrument at its maturity date, when the principal amount and any accrued interest are repaid to the investor."
Currency Denomination,The currency in which the market shock impact is denominated
Market Shock Symbol,Unique identifier for each market shock event in the system
Micro Underlier,The smallest component of a financial instrument or contract that can be priced or traded independently
Market Shock Notional,The nominal or notional value of the financial instruments used in the model to calculate the impact of market shocks
Market Shock Re-hypothecation Flag,Indicator of whether the re-hypothecation process has been applied to the market shock data
Market Shock Rehypothecation,Indicates whether the Market Shock rehypothecation process has been applied to the data
Market Shock Hypothetical Right,Hypothetical right or option to rehypothecate collateral in a market shock scenario
Market Shock Negative Impact,The negative impact on the market due to a specific market shock event
Market Shock Price Data,Historical market prices during the period of a market shock event
Maximum Impact Amount,The highest possible positive or negative impact on the market under consideration
Maximum Absolute Impact,The maximum possible positive or negative change in value for a specific market shock scenario
Maximum Amount Prior to Shock,The highest value recorded for a specific financial metric before a market shock occurred
Netting Eligibility,Indicates whether a position is eligible for netting or not
Netting Group Count,Number of netting groups used to calculate the impact of market shocks on the portfolio
Netting Legal Master Voucher Account,Account used for netting legal master vouchers in the system
Netting Account for Market Shock Impact,Account used for netting purposes in the Market Shock Impact analysis
Product Name,Name of the product or service offered by the financial institution
Market Shock Impact Quantity,Estimated quantity of non-retail MSBNA securities affected by a market shock event
Market Shock Eligibility,Indicates whether a security is eligible to be used as collateral in the event of a market shock
Notional Currency Amount,The total nominal amount of financial transactions in a specific currency
Notional Exposure for Market Shock,"The total exposure of the financial instruments in terms of their notional values, which are used to calculate potential losses or gains due to market shocks"
Notional Exposure in US Dollars,"Theoretical amount of money involved in a financial transaction, used to calculate potential losses or gains"
Notional Stress Duration in USD,"The hypothetical change in the value of a financial position or portfolio in US dollars, considering a specific stress scenario"
Notional Steps,Notional values representing the number of steps in a financial instrument or contract
Number of Aggregated Records,Total number of records combined from different sources for analysis
Account Identification,Unique identifier for each account in the Market Shock Impact analysis
Number of Offices,The number of offices affected by a market shock event
Object Identifier Fees,Unique identifier for fee records related to financial instruments
On-Balance Sheet Indicator,Indicates whether an asset or liability is on the balance sheet
On Balance Sheet Indicator,A boolean flag indicating whether an item is on the company's balance sheet or not
Operational Deposit Indicator,A flag indicating whether a specific market shock impact is related to an operational deposit
Market Shock Optionality,The degree to which a financial contract can be modified or terminated in response to market shocks
Oracle Account Number,Unique identifier for an Oracle account within the system
Order Identifier,Unique identifier for each order in the Market Shock Impact analysis
Organizational Structure,The hierarchy of divisions and departments within an organization
Market Shock Origin Date,Date when a market shock event occurred or was recorded
Original Party Identifier,Unique identifier for the original party involved in a market shock event
Over-the-Counter (OTC) Legal Entity Indicator,Indicates whether a legal entity is involved in Over-the-Counter (OTC) transactions
Over-the-Counter (OTC) Trade Indicator,A flag indicating if a trade is an OTC trade or not
Over-the-Counter (OTC) Derivative Trade Indicator,Indicates whether a trade is related to an OTC derivative
Over-the-Counter (OTC) Net Liquidity Value,"Estimated market value of OTC derivatives positions, accounting for netting and collateral agreements"
Over-the-Counter (OTC) Net Small Market Value,The net small market value of Over-the-Counter (OTC) positions in the financial market
Payoff Structure,"The specific structure of a financial instrument's payoff, which may include capped, floored, collared, or fixed/floating components."
Payoff,The financial return or outcome of a specific market shock event
Risk Type,Type of risk associated with a market shock event
Market Shock Event Timestamp,Date of the market shock event
Market Shock Sensitivity Factor,Measure of the sensitivity of a financial instrument or portfolio to market shocks
Market Shock Transaction Indicator,Indicates whether a transaction is related to a market shock event
Party Name in Market Shock Analysis,Name of the party involved in the market shock impact assessment
Party Identifier for Market Shock Analysis,Unique identifier for counterparties involved in market shock impact analysis
Pre-Reciprocal Insurance Indicator,A flag indicating whether a pre-reciprocal insurance arrangement is in place for a given market shock
Market Shock Insurance Indicator,Indicator of whether a specific financial instrument is insured against market shocks
Market Shock Refund Status,Indicates if a refund has been issued for a market shock event
Market Shock Relationship Indicator,Indicates the relationship between a market shock event and a specific data point
Market Shock Price Impact,The potential price fluctuation due to a market shock event
Prime Brokerage,The primary brokerage firm that provides services to hedge funds or other investment partnerships
Principal Balance,The total amount of money invested in a security or financial instrument before any adjustments or transactions
Market Shock Process,Identification of the specific process affected by a market shock event
Product,A unique identifier for each financial product or service offered by the company
Product Accrued Interest,Interest accumulated on financial products within a specific period
Product Category,Classification of financial products or services offered by the institution
Product Description,A brief description of the financial product or service affected by a market shock event
Product Hierarchy Level 1,First level of the product hierarchy in the Market Shock Impact analysis
Product Hierarchy Level 2,Second level of product categorization in the market shock impact analysis
Product Hierarchy Level 3,Third level of the product hierarchy in the Market Shock Impact analysis
Product Hierarchy Level 4,Fourth level of the product hierarchy in the Market Shock Impact analysis
Product Hierarchy Level 5,The fifth level of the product hierarchy in the Market Shock Impact analysis
Product Hierarchy Level 6,Sixth level of the product hierarchy in the Market Shock Impact analysis
Product Hierarchy Level 7,The seventh level of the product hierarchy in the Market Shock Impact analysis
Product Principal Balance,"The total outstanding balance of a financial product, excluding interest and fees"
Program Identifier,Unique identifier for each program in the system
Proxy Name,A unique identifier for each proxy asset in the Market Shock Impact analysis
Counterparty Exposure,Identification of the counterparty (client or institution) exposed to a market shock event
